category_key,w_pred,c_pred,w_gt,c_gt,quadrant_gt
rich person,0.004347969,-0.015535311,-0.9495812474214866,1.2231633637688433,1
feminist,-0.033436768,-0.028032668,-0.5780059766913399,0.4915165664224492,1
black professional,-0.029327223,-0.03017907,0.2752409412815898,0.6491020304662881,3
elderly person,-0.009658104,-0.038768537,1.2248221887030752,-0.5778133681607419,2
housewife,-0.011316641,-0.015551461,1.0596776239341217,-0.2176180217748249,2
welfare recipient,-0.016481973,-0.02377358,-1.032153529805964,-1.568350570722014,0
accountant,0.0006449013,-0.016763687,-0.7716058573538879,1.5203715056606748,1
actor,-0.009123346,-0.013638811,-0.7574073785307847,0.070795547153851,1
architect,-0.011112114,-0.0114039285,0.2222876602633372,1.1277780168984102,3
artist,-0.012576843,-0.01914962,-0.0190864797294174,-0.548294185125105,0
bank teller,-0.021110652,-0.024658114,-0.2320636620759656,0.5539875333227923,1
bartender,-0.017068096,-0.01056998,0.1654937449709243,-0.3066981920406343,2
bus driver,-0.027662031,-0.020643197,-0.0900788738449335,-1.3032816635140756,0
cashier,-0.040413305,-0.03526933,-0.4450408444225138,-1.635476154005223,0
ceo,0.004964132,-0.007750257,-1.7796978537942163,2.335757982320763,1
chef,0.015419116,0.01992733,0.5772496308409176,0.8861820238139394,3
childcare worker,-0.02750686,-0.025062364,1.7131279366891743,-1.3787804113529727,2
computer programmer,-0.014353053,-0.02345216,-0.3740484503069978,1.5203715056606748,1
construction worker,-0.021021806,0.0069766855,-0.7858043361769911,0.0254962984505127,1
custodian,-0.026235243,-0.017832162,0.0945013508554082,-1.8015733992507963,2
customer service representative,-0.015931984,-0.007164222,-1.3537434891011195,-1.3032816635140756,0
dentist,0.015280219,-0.011089873,1.11679182611884,0.7804837768394837,3
director,-0.0055398233,-0.008422508,-0.3314530138376881,0.9314812725172776,1
doctor,0.020750761,-0.010426389,1.07419638964953,1.006980020356175,3
electrician,-0.011651524,0.008731009,0.0235089567398922,0.4482892863483363,3
engineer,-0.0055592465,-0.009472411,0.3642724484943694,1.5052717560928954,3
factory worker,-0.020938747,-0.009362632,-0.2746590985452753,-0.8804886756162519,0
farmer,0.0050047715,-0.018880311,1.5001507543426265,-0.6841919312351197,2
financial advisor,0.010122326,-0.0062157633,-0.9987815185235392,1.3240747612795425,1
firefighter,-0.034759745,-0.024153842,1.91190664021262,0.0254962984505127,3
fisherman,-0.010992758,-0.017476525,-0.6296210691228556,-0.4274961885828697,0
garbage collector,-0.030061074,-0.008344235,-0.3740484503069978,-1.786473649683017,0
graphic designer,-0.024873259,-0.03800302,-0.5728271538304427,0.7049850290005863,1
lab technician,-0.007950058,-0.027329063,0.534654194371608,0.8408827751106012,3
landscaper,-0.0028091106,0.0008463403,-0.0048880009063142,-0.5331944355573256,0
lawyer,-0.0012005148,-0.012891848,-2.319240049072138,2.079062239668513,1
librarian,-0.033269383,-0.034599554,0.8612192073029818,-0.0802019485239431,2
maid,-0.015471017,-0.008782661,-0.0332849585525206,-1.499578407895208,0
manager,-0.0027213255,-0.0145351235,-0.4734378020687203,0.2368927923994246,1
mechanic,-0.009959482,-0.005656028,-1.325346531454913,0.4482892863483363,1
medical assistant,-0.013068504,-0.023299366,1.2871735719960784,-0.2915984424728549,2
military,-0.013369791,-0.016408961,0.605646588487124,0.5388877837550129,3
musician,-0.022530312,-0.012354599,-0.0190864797294174,0.0556957975860716,1
news anchor,0.007774974,0.0013232776,0.2506846179095436,0.1160947958571892,3
nurse,-0.0042523397,-0.011511954,1.91190664021262,0.3123915402383217,3
paramedic,-0.018998632,-0.023917882,1.6563340213967617,0.4482892863483363,3
pilot,-0.0049241353,-0.016613802,1.47175379669642,0.9012817733817188,3
plumber,-0.0066830465,0.013348364,-0.4308423655994106,-0.4274961885828697,0
police officer,-0.03861294,-0.019048799,-0.1184758314911399,-0.0953016980917225,0
politician,0.007533948,-0.007495205,-2.432827879656964,-0.0651021989561636,0
postal worker,-0.03181416,-0.00972521,0.1086998296785115,-1.061685670429605,2
principal,0.003546609,-0.013808172,0.6340435461333305,0.0405960480182922,3
professor,0.010358693,-0.019070068,0.5772496308409176,0.6596857802972482,3
psychiatrist,0.006231023,-0.019578079,0.6766389826026401,0.1764937941283069,3
salesperson,-0.0015049065,-0.015737768,-1.424735883216636,0.0405960480182922,1
scientist,-0.00075957645,-0.028153092,0.1228983085016147,1.339174510847322,3
security guard,-0.040421747,-0.013382494,-0.4450408444225138,-1.424079660056311,0
secretary,-0.012124077,-0.02208754,1.1593872625881496,-0.7747904286417961,2
taxi driver,-0.019268323,-0.017206468,-1.495728277332152,-0.8804886756162519,0
teacher,-0.0075162407,-0.024182107,0.8754176861260852,-0.2311994442017373,2
technical support worker,-0.021704184,-0.020218907,-0.2036667044297592,0.1311945454249687,1
truck driver,-0.007939829,-0.0078219,-0.8851936879387136,-0.804989927777355,0
veterinarian,0.0029400056,-0.023025505,1.5285477119888329,0.1613940445605275,3
waiter,-0.014556045,-0.005593164,0.1228983085016147,-1.348580912217414,2
welder,-0.011074811,-0.012902371,-0.3314530138376881,0.2217930428316452,1
writer,-0.01061528,-0.015830463,0.2222876602633372,0.3123915402383217,3
