word,dimension,valence,source_repo,source_file
able,competence,1,fraser,BWS_annotations.csv
active,competence,1,fraser,BWS_annotations.csv
affectionate,competence,1,fraser,BWS_annotations.csv
aggressive,competence,1,fraser,BWS_annotations.csv
agreeable,competence,1,fraser,BWS_annotations.csv
aloof,competence,1,fraser,BWS_annotations.csv
altruistic,competence,1,fraser,BWS_annotations.csv
ambitious,competence,1,fraser,BWS_annotations.csv
amicable,competence,1,fraser,BWS_annotations.csv
antisocial,competence,1,fraser,BWS_annotations.csv
anxious,competence,1,fraser,BWS_annotations.csv
asocial,competence,1,fraser,BWS_annotations.csv
assertive,competence,1,fraser,BWS_annotations.csv
autonomous,competence,1,fraser,BWS_annotations.csv
bad,competence,1,fraser,BWS_annotations.csv
beneficent,competence,1,fraser,BWS_annotations.csv
benevolent,competence,1,fraser,BWS_annotations.csv
boring,competence,1,fraser,BWS_annotations.csv
bright,competence,1,fraser,BWS_annotations.csv
brilliant,competence,1,fraser,BWS_annotations.csv
brutal,competence,1,fraser,BWS_annotations.csv
capable,competence,1,fraser,BWS_annotations.csv
careless,competence,1,fraser,BWS_annotations.csv
caring,competence,1,fraser,BWS_annotations.csv
cautious,competence,1,fraser,BWS_annotations.csv
civil,competence,1,fraser,BWS_annotations.csv
clever,competence,1,fraser,BWS_annotations.csv
clumsy,competence,1,fraser,BWS_annotations.csv
cold,competence,1,fraser,BWS_annotations.csv
compassionate,competence,1,fraser,BWS_annotations.csv
competent,competence,1,fraser,BWS_annotations.csv
competitive,competence,1,fraser,BWS_annotations.csv
confident,competence,1,fraser,BWS_annotations.csv
conscientious,competence,1,fraser,BWS_annotations.csv
cooperative,competence,1,fraser,BWS_annotations.csv
corrupt,competence,1,fraser,BWS_annotations.csv
creative,competence,1,fraser,BWS_annotations.csv
criminal,competence,1,fraser,BWS_annotations.csv
critical,competence,1,fraser,BWS_annotations.csv
cunning,competence,1,fraser,BWS_annotations.csv
daring,competence,1,fraser,BWS_annotations.csv
dedicated,competence,1,fraser,BWS_annotations.csv
dependent,competence,1,fraser,BWS_annotations.csv
determined,competence,1,fraser,BWS_annotations.csv
diffident,competence,1,fraser,BWS_annotations.csv
disagreeable,competence,1,fraser,BWS_annotations.csv
discriminating,competence,1,fraser,BWS_annotations.csv
dishonest,competence,1,fraser,BWS_annotations.csv
