word,dimension,valence,source_repo,source_file,keep
able,competence,1,fraser,BWS_annotations.csv,1
active,competence,1,fraser,BWS_annotations.csv,1
affectionate,competence,1,fraser,BWS_annotations.csv,1
aggressive,competence,1,fraser,BWS_annotations.csv,1
agreeable,competence,1,fraser,BWS_annotations.csv,1
aloof,competence,1,fraser,BWS_annotations.csv,1
altruistic,competence,1,fraser,BWS_annotations.csv,1
ambitious,competence,1,fraser,BWS_annotations.csv,1
amicable,competence,1,fraser,BWS_annotations.csv,1
antisocial,competence,1,fraser,BWS_annotations.csv,1
anxious,competence,1,fraser,BWS_annotations.csv,1
asocial,competence,1,fraser,BWS_annotations.csv,1
assertive,competence,1,fraser,BWS_annotations.csv,1
autonomous,competence,1,fraser,BWS_annotations.csv,1
bad,competence,1,fraser,BWS_annotations.csv,1
beneficent,competence,1,fraser,BWS_annotations.csv,1
benevolent,competence,1,fraser,BWS_annotations.csv,1
boring,competence,1,fraser,BWS_annotations.csv,1
bright,competence,1,fraser,BWS_annotations.csv,1
brilliant,competence,1,fraser,BWS_annotations.csv,1
brutal,competence,1,fraser,BWS_annotations.csv,1
capable,competence,1,fraser,BWS_annotations.csv,1
careless,competence,1,fraser,BWS_annotations.csv,1
caring,competence,1,fraser,BWS_annotations.csv,1
cautious,competence,1,fraser,BWS_annotations.csv,1
civil,competence,1,fraser,BWS_annotations.csv,1
clever,competence,1,fraser,BWS_annotations.csv,1
clumsy,competence,1,fraser,BWS_annotations.csv,1
cold,competence,1,fraser,BWS_annotations.csv,1
compassionate,competence,1,fraser,BWS_annotations.csv,1
competent,competence,1,fraser,BWS_annotations.csv,1
competitive,competence,1,fraser,BWS_annotations.csv,1
confident,competence,1,fraser,BWS_annotations.csv,1
conscientious,competence,1,fraser,BWS_annotations.csv,1
cooperative,competence,1,fraser,BWS_annotations.csv,1
corrupt,competence,1,fraser,BWS_annotations.csv,1
creative,competence,1,fraser,BWS_annotations.csv,1
criminal,competence,1,fraser,BWS_annotations.csv,1
critical,competence,1,fraser,BWS_annotations.csv,1
cunning,competence,1,fraser,BWS_annotations.csv,1
daring,competence,1,fraser,BWS_annotations.csv,1
dedicated,competence,1,fraser,BWS_annotations.csv,1
dependent,competence,1,fraser,BWS_annotations.csv,1
determined,competence,1,fraser,BWS_annotations.csv,1
diffident,competence,1,fraser,BWS_annotations.csv,1
disagreeable,competence,1,fraser,BWS_annotations.csv,1
discriminating,competence,1,fraser,BWS_annotations.csv,1
dishonest,competence,1,fraser,BWS_annotations.csv,1
dishonorable,competence,1,fraser,BWS_annotations.csv,1
disliked,competence,1,fraser,BWS_annotations.csv,1
disloyal,competence,1,fraser,BWS_annotations.csv,1
distant,competence,1,fraser,BWS_annotations.csv,1
docile,competence,1,fraser,BWS_annotations.csv,1
dominant,competence,1,fraser,BWS_annotations.csv,1
dominated,competence,1,fraser,BWS_annotations.csv,1
dominating,competence,1,fraser,BWS_annotations.csv,1
double-faced,competence,1,fraser,BWS_annotations.csv,1
dumb,competence,1,fraser,BWS_annotations.csv,1
educated,competence,1,fraser,BWS_annotations.csv,1
effective,competence,1,fraser,BWS_annotations.csv,1
efficient,competence,1,fraser,BWS_annotations.csv,1
egoistic,competence,1,fraser,BWS_annotations.csv,1
energetic,competence,1,fraser,BWS_annotations.csv,1
evil,competence,1,fraser,BWS_annotations.csv,1
exploitative,competence,1,fraser,BWS_annotations.csv,1
fair,competence,1,fraser,BWS_annotations.csv,1
faithful,competence,1,fraser,BWS_annotations.csv,1
fake,competence,1,fraser,BWS_annotations.csv,1
felicitous,competence,1,fraser,BWS_annotations.csv,1
foolish,competence,1,fraser,BWS_annotations.csv,1
forgiving,competence,1,fraser,BWS_annotations.csv,1
forthcoming,competence,1,fraser,BWS_annotations.csv,1
friendly,competence,1,fraser,BWS_annotations.csv,1
