category,kind,source,scale_max,warmth_raw,competence_raw,warmth_z,competence_z,category_key
rich people,identity_group,Fiske2002,5,2.48,4.34,-0.9495812474214866,1.2231633637688433,rich person
feminists,identity_group,Fiske2002,5,2.75,3.69,-0.5780059766913399,0.49151656642244923,feminist
black professionals,identity_group,Fiske2002,5,3.37,3.83,0.2752409412815898,0.6491020304662881,black professional
elderly people,identity_group,Fiske2002,5,4.06,2.74,1.2248221887030752,-0.5778133681607419,elderly person
housewives,identity_group,Fiske2002,5,3.94,3.06,1.0596776239341217,-0.21761802177482495,housewife
welfare recipients,identity_group,Fiske2002,5,2.42,1.86,-1.0321535298059639,-1.568350570722014,welfare recipient
accountant,occupation,He2019,7,-0.55,1.02,-0.7716058573538879,1.5203715056606748,accountant
actor,occupation,He2019,7,-0.54,0.06,-0.7574073785307847,0.07079554715385104,actor
architect,occupation,He2019,7,0.15,0.76,0.2222876602633372,1.1277780168984102,architect
artist,occupation,He2019,7,-0.02,-0.35,-0.019086479729417426,-0.548294185125105,artist
bank teller,occupation,He2019,7,-0.17,0.38,-0.23206366207596568,0.5539875333227923,bank teller
bartender,occupation,He2019,7,0.11,-0.19,0.16549374497092437,-0.30669819204063437,bartender
bus driver,occupation,He2019,7,-0.07,-0.85,-0.09007887384493352,-1.3032816635140756,bus driver
cashier,occupation,He2019,7,-0.32,-1.07,-0.44504084442251385,-1.635476154005223,cashier
CEO,occupation,He2019,7,-1.26,1.56,-1.7796978537942163,2.335757982320763,ceo
chef,occupation,He2019,7,0.4,0.6,0.5772496308409176,0.8861820238139394,chef
Childcare worker,Occupation,He2019,7,1.2,-0.9,1.7131279366891745,-1.3787804113529727,childcare worker
computer programmer,occupation,He2019,7,-0.27,1.02,-0.3740484503069978,1.5203715056606748,computer programmer
construction worker,occupation,He2019,7,-0.56,0.03,-0.7858043361769911,0.025496298450512794,construction worker
Custodian,occupation,He2019,7,0.06,-1.18,0.09450135085540828,-1.8015733992507963,custodian
customer service representative,occupation,He2019,7,-0.96,-0.85,-1.3537434891011195,-1.3032816635140756,customer service representative
dentist,occupation,He2019,7,0.78,0.53,1.1167918261188399,0.7804837768394837,dentist
Director,occupation,He2019,7,-0.24,0.63,-0.33145301383768816,0.9314812725172777,director
doctor,occupation,He2019,7,0.75,0.68,1.0741963896495301,1.006980020356175,doctor
electrician,occupation,He2019,7,0.01,0.31,0.023508956739892218,0.44828928634833637,electrician
engineer,occupation,He2019,7,0.25,1.01,0.3642724484943694,1.5052717560928954,engineer
factory worker,occupation,He2019,7,-0.2,-0.57,-0.2746590985452753,-0.8804886756162519,factory worker
farmer,occupation,He2019,7,1.05,-0.44,1.5001507543426265,-0.6841919312351197,farmer
financial advisor,occupation,He2019,7,-0.71,0.89,-0.9987815185235391,1.3240747612795425,financial advisor
firefighter,occupation,He2019,7,1.34,0.03,1.9119066402126197,0.025496298450512794,firefighter
Fisherman,occupation,He2019,7,-0.45,-0.27,-0.6296210691228556,-0.4274961885828697,fisherman
Garbage collector,occupation,He2019,7,-0.27,-1.17,-0.3740484503069978,-1.786473649683017,garbage collector
graphic designer,occupation,He2019,7,-0.41,0.48,-0.5728271538304427,0.7049850290005863,graphic designer
Lab technician,occupation,He2019,7,0.37,0.57,0.534654194371608,0.8408827751106012,lab technician
Landscaper,occupation,He2019,7,-0.01,-0.34,-0.004888000906314211,-0.5331944355573256,landscaper
lawyer,occupation,He2019,7,-1.64,1.39,-2.319240049072138,2.079062239668513,lawyer
librarian,occupation,He2019,7,0.6,-0.04,0.8612192073029818,-0.0802019485239431,librarian
Maid,occupation,He2019,7,-0.03,-0.98,-0.03328495855252064,-1.499578407895208,maid
Manager,occupation,He2019,7,-0.34,0.17,-0.4734378020687203,0.23689279239942465,manager
Mechanic,occupation,He2019,7,-0.94,0.31,-1.325346531454913,0.44828928634833637,mechanic
Medical assistant,occupation,He2019,7,0.9,-0.18,1.2871735719960784,-0.29159844247285494,medical assistant
Military,occupation,He2019,7,0.42,0.37,0.605646588487124,0.5388877837550129,military
musician,occupation,He2019,7,-0.02,0.05,-0.019086479729417426,0.05569579758607163,musician
News anchor,occupation,He2019,7,0.17,0.09,0.25068461790954366,0.11609479585718928,news anchor
nurse,occupation,He2019,7,1.34,0.22,1.9119066402126197,0.3123915402383217,nurse
Paramedic,occupation,He2019,7,1.16,0.31,1.6563340213967617,0.44828928634833637,paramedic
Pilot,occupation,He2019,7,1.03,0.61,1.47175379669642,0.9012817733817189,pilot
plumber,occupation,He2019,7,-0.31,-0.27,-0.43084236559941064,-0.4274961885828697,plumber
police officer,occupation,He2019,7,-0.09,-0.05,-0.11847583149113994,-0.09530169809172252,police officer
politician,occupation,He2019,7,-1.72,-0.03,-2.4328278796569642,-0.06510219895616369,politician
Postal worker,occupation,He2019,7,0.07,-0.69,0.10869982967851151,-1.061685670429605,postal worker
Principal,occupation,He2019,7,0.44,0.04,0.6340435461333305,0.04059604801829221,principal
professor,occupation,He2019,7,0.4,0.45,0.5772496308409176,0.6596857802972482,professor
Psychiatrist,occupation,He2019,7,0.47,0.13,0.6766389826026401,0.17649379412830696,psychiatrist
salesperson,occupation,He2019,7,-1.01,0.04,-1.424735883216636,0.04059604801829221,salesperson
scientist,occupation,He2019,7,0.08,0.9,0.12289830850161472,1.3391745108473219,scientist
Security guard,occupation,He2019,7,-0.32,-0.93,-0.44504084442251385,-1.424079660056311,security guard
secretary,occupation,He2019,7,0.81,-0.5,1.1593872625881496,-0.7747904286417961,secretary
taxi driver,occupation,He2019,7,-1.06,-0.57,-1.495728277332152,-0.8804886756162519,taxi driver
Teacher,occupation,He2019,7,0.61,-0.14,0.8754176861260852,-0.2311994442017373,teacher
Technical support worker,occupation,He2019,7,-0.15,0.1,-0.20366670442975923,0.1311945454249687,technical support worker
truck driver,occupation,He2019,7,-0.63,-0.52,-0.8851936879387136,-0.804989927777355,truck driver
Unemployed,occupation,He2019,7,-1.16,-1.48,-1.637713065563184,-2.254565886284179,unemployed
veterinarian,occupation,He2019,7,1.07,0.12,1.5285477119888329,0.16139404456052753,veterinarian
waiter,occupation,He2019,7,0.08,-0.88,0.12289830850161472,-1.348580912217414,waiter
Welder,occupation,He2019,7,-0.24,0.16,-0.33145301383768816,0.22179304283164522,welder
Writer,occupation,He2019,7,0.15,0.22,0.2222876602633372,0.3123915402383217,writer
