category,kind,source,scale_max,warmth_mean,warmth_sd,competence_mean,competence_sd,n_raters,table_reference,notes
rich people,identity_group,Fiske2002,5,2.48,4.34,~571,"Table 12, Study 3",raw,5 samples combined,rich people
feminists,identity_group,Fiske2002,5,2.75,3.69,~571,"Table 12, Study 3",raw,5 samples combined,feminists
black professionals,identity_group,Fiske2002,5,3.37,3.83,~571,"Table 12, Study 3",raw,5 samples combined,black professionals
elderly people,identity_group,Fiske2002,5,4.06,2.74,~571,"Table 12, Study 3",raw,5 samples combined; one sample used 'retarded' instead — see footnote,elderly people
housewives,identity_group,Fiske2002,5,3.94,3.06,~571,"Table 12, Study 3",raw,5 samples combined,housewives
welfare recipients,identity_group,Fiske2002,5,2.42,1.86,~571,"Table 12, Study 3",raw,5 samples combined,welfare recipients
accountant,occupation,He2019,7,-0.55,0.98,1.02,0.75,,Table 1,
actor,occupation,He2019,7,-0.54,1.01,0.06,0.68,,Table 1,
architect,occupation,He2019,7,0.15,0.7,0.76,0.63,,Table 1,
artist,occupation,He2019,7,-0.02,0.83,-0.35,0.72,,Table 1,
bank teller,occupation,He2019,7,-0.17,0.68,0.38,0.89,,Table 1,
bartender,occupation,He2019,7,0.11,0.84,-0.19,0.74,,Table 1,
bus driver,occupation,He2019,7,-0.07,0.96,-0.85,0.66,,Table 1,
cashier,occupation,He2019,7,-0.32,0.94,-1.07,0.72,,Table 1,
CEO,occupation,He2019,7,-1.26,0.96,1.56,0.74,,Table 1,
chef,occupation,He2019,7,0.40,0.87,0.60,0.6,,Table 1,
Childcare worker,Occupation,He2019,7,1.20,0.71,-0.90,0.57,,Table 1,
computer programmer,occupation,He2019,7,-0.27,0.75,1.02,0.67,,Table 1,
construction worker,occupation,He2019,7,-0.56,0.84,0.03,0.67,,Table 1,
Custodian,occupation,He2019,7,0.06,1.04,-1.18,0.77,,Table 1,
customer service representative,occupation,He2019,7,-0.96,1.09,-0.85,0.64,,Table 1,
dentist,occupation,He2019,7,0.78,0.91,0.53,0.43,,Table 1,
Director,occupation,He2019,7,-0.24,0.87,0.63,0.71,,Table 1,
doctor,occupation,He2019,7,0.75,0.82,0.68,0.42,,Table 1,
electrician,occupation,He2019,7,0.01,0.8,0.31,0.73,,Table 1,
engineer,occupation,He2019,7,0.25,0.85,1.01,0.58,,Table 1,
factory worker,occupation,He2019,7,-0.20,0.72,-0.57,0.76,,Table 1,
farmer,occupation,He2019,7,1.05,0.71,-0.44,0.57,,Table 1,
financial advisor,occupation,He2019,7,-0.71,1.07,0.89,0.78,,Table 1,
firefighter,occupation,He2019,7,1.34,0.57,0.03,0.47,,Table 1,
Fisherman,occupation,He2019,7,-0.45,0.97,-0.27,0.77,,Table 1,
Garbage collector,occupation,He2019,7,-0.27,0.97,-1.17,0.72,,Table 1,
graphic designer,occupation,He2019,7,-0.41,0.71,0.48,0.7,,Table 1,
Lab technician,occupation,He2019,7,0.37,0.83,0.57,0.53,,Table 1,
Landscaper,occupation,He2019,7,-0.01,0.72,-0.34,0.65,,Table 1,
lawyer,occupation,He2019,7,-1.64,1.03,1.39,1.07,,Table 1,
librarian,occupation,He2019,7,0.60,0.8,-0.04,0.67,,Table 1,
Maid,occupation,He2019,7,-0.03,0.93,-0.98,0.68,,Table 1,
Manager,occupation,He2019,7,-0.34,0.89,0.17,0.74,,Table 1,
Mechanic,occupation,He2019,7,-0.94,0.97,0.31,0.65,,Table 1,
Medical assistant,occupation,He2019,7,0.90,0.67,-0.18,0.64,,Table 1,
Military,occupation,He2019,7,0.42,0.86,0.37,0.61,,Table 1,
musician,occupation,He2019,7,-0.02,0.76,0.05,0.69,,Table 1,
News anchor,occupation,He2019,7,0.17,0.89,0.09,0.55,,Table 1,
nurse,occupation,He2019,7,1.34,0.76,0.22,0.51,,Table 1,
Paramedic,occupation,He2019,7,1.16,0.67,0.31,0.44,,Table 1,
Pilot,occupation,He2019,7,1.03,0.67,0.61,0.45,,Table 1,
plumber,occupation,He2019,7,-0.31,0.76,-0.27,0.81,,Table 1,
police officer,occupation,He2019,7,-0.09,1.06,-0.05,0.58,,Table 1,
politician,occupation,He2019,7,-1.72,0.9,-0.03,0.98,,Table 1,
Postal worker,occupation,He2019,7,0.07,0.96,-0.69,0.74,,Table 1,
Principal,occupation,He2019,7,0.44,0.81,0.04,0.55,,Table 1,
professor,occupation,He2019,7,0.40,0.84,0.45,0.6,,Table 1,
Psychiatrist,occupation,He2019,7,0.47,0.89,0.13,0.63,,Table 1,
salesperson,occupation,He2019,7,-1.01,0.88,0.04,0.79,,Table 1,
scientist,occupation,He2019,7,0.08,0.7,0.90,0.65,,Table 1,
Security guard,occupation,He2019,7,-0.32,1.03,-0.93,0.91,,Table 1,
secretary,occupation,He2019,7,0.81,0.62,-0.50,0.71,,Table 1,
taxi driver,occupation,He2019,7,-1.06,1.03,-0.57,0.7,,Table 1,
Teacher,occupation,He2019,7,0.61,0.65,-0.14,0.55,,Table 1,
Technical support worker,occupation,He2019,7,-0.15,0.96,0.10,0.99,,Table 1,
truck driver,occupation,He2019,7,-0.63,0.98,-0.52,0.7,,Table 1,
Unemployed,occupation,He2019,7,-1.16,0.97,-1.48,0.84,,Table 1,
veterinarian,occupation,He2019,7,1.07,0.7,0.12,0.53,,Table 1,
waiter,occupation,He2019,7,0.08,0.75,-0.88,0.74,,Table 1,
Welder,occupation,He2019,7,-0.24,0.96,0.16,0.6,,Table 1,
Writer,occupation,He2019,7,0.15,0.76,0.22,0.65,,Table 1,
