category,kind,source,scale_max,warmth_mean,warmth_sd,competence_mean,competence_sd,n_raters,table_reference,notes
rich people,identity_group,Fiske2002,5,,,,,,,
wealthy people,identity_group,Fiske2002,5,,,,,,,
businesswomen,identity_group,Fiske2002,5,,,,,,,
Asians,identity_group,Fiske2002,5,,,,,,,
Jewish people,identity_group,Fiske2002,5,,,,,,,
feminists,identity_group,Fiske2002,5,,,,,,,
British people,identity_group,Fiske2002,5,,,,,,,
Northerners,identity_group,Fiske2002,5,,,,,,,
Americans,identity_group,Fiske2002,5,,,,,,,
Black professionals,identity_group,Fiske2002,5,,,,,,,
students,identity_group,Fiske2002,5,,,,,,,
young people,identity_group,Fiske2002,5,,,,,,,
middle-class people,identity_group,Fiske2002,5,,,,,,,
white people,identity_group,Fiske2002,5,,,,,,,
Christians,identity_group,Fiske2002,5,,,,,,,
Irish people,identity_group,Fiske2002,5,,,,,,,
Italians,identity_group,Fiske2002,5,,,,,,,
Hispanic people,identity_group,Fiske2002,5,,,,,,,
Black people,identity_group,Fiske2002,5,,,,,,,
elderly people,identity_group,Fiske2002,5,,,,,,,
disabled people,identity_group,Fiske2002,5,,,,,,,
housewives,identity_group,Fiske2002,5,,,,,,,
blind people,identity_group,Fiske2002,5,,,,,,,
retarded people,identity_group,Fiske2002,5,,,,,,,
homeless people,identity_group,Fiske2002,5,,,,,,,
welfare recipients,identity_group,Fiske2002,5,,,,,,,
poor people,identity_group,Fiske2002,5,,,,,,,
Arabs,identity_group,Fiske2002,5,,,,,,,
Turks,identity_group,Fiske2002,5,,,,,,,
migrant workers,identity_group,Fiske2002,5,,,,,,,
accountant,occupation,He2019,7,,,,,,,
actor,occupation,He2019,7,,,,,,,
architect,occupation,He2019,7,,,,,,,
artist,occupation,He2019,7,,,,,,,
athlete,occupation,He2019,7,,,,,,,
bank teller,occupation,He2019,7,,,,,,,
bartender,occupation,He2019,7,,,,,,,
bus driver,occupation,He2019,7,,,,,,,
carpenter,occupation,He2019,7,,,,,,,
cashier,occupation,He2019,7,,,,,,,
CEO,occupation,He2019,7,,,,,,,
chef,occupation,He2019,7,,,,,,,
computer programmer,occupation,He2019,7,,,,,,,
construction worker,occupation,He2019,7,,,,,,,
customer service representative,occupation,He2019,7,,,,,,,
dancer,occupation,He2019,7,,,,,,,
dental hygienist,occupation,He2019,7,,,,,,,
dentist,occupation,He2019,7,,,,,,,
doctor,occupation,He2019,7,,,,,,,
electrician,occupation,He2019,7,,,,,,,
elementary school teacher,occupation,He2019,7,,,,,,,
engineer,occupation,He2019,7,,,,,,,
factory worker,occupation,He2019,7,,,,,,,
farmer,occupation,He2019,7,,,,,,,
financial analyst,occupation,He2019,7,,,,,,,
firefighter,occupation,He2019,7,,,,,,,
flight attendant,occupation,He2019,7,,,,,,,
graphic designer,occupation,He2019,7,,,,,,,
hairdresser,occupation,He2019,7,,,,,,,
hotel receptionist,occupation,He2019,7,,,,,,,
housekeeper,occupation,He2019,7,,,,,,,
human resources manager,occupation,He2019,7,,,,,,,
investment banker,occupation,He2019,7,,,,,,,
janitor,occupation,He2019,7,,,,,,,
judge,occupation,He2019,7,,,,,,,
lawyer,occupation,He2019,7,,,,,,,
librarian,occupation,He2019,7,,,,,,,
machinist,occupation,He2019,7,,,,,,,
maid,occupation,He2019,7,,,,,,,
manager,occupation,He2019,7,,,,,,,
mechanic,occupation,He2019,7,,,,,,,
musician,occupation,He2019,7,,,,,,,
nurse,occupation,He2019,7,,,,,,,
paralegal,occupation,He2019,7,,,,,,,
pharmacist,occupation,He2019,7,,,,,,,
photographer,occupation,He2019,7,,,,,,,
physical therapist,occupation,He2019,7,,,,,,,
plumber,occupation,He2019,7,,,,,,,
police officer,occupation,He2019,7,,,,,,,
politician,occupation,He2019,7,,,,,,,
professor,occupation,He2019,7,,,,,,,
psychologist,occupation,He2019,7,,,,,,,
real estate agent,occupation,He2019,7,,,,,,,
receptionist,occupation,He2019,7,,,,,,,
salesperson,occupation,He2019,7,,,,,,,
scientist,occupation,He2019,7,,,,,,,
secretary,occupation,He2019,7,,,,,,,
social worker,occupation,He2019,7,,,,,,,
software developer,occupation,He2019,7,,,,,,,
soldier,occupation,He2019,7,,,,,,,
surgeon,occupation,He2019,7,,,,,,,
taxi driver,occupation,He2019,7,,,,,,,
truck driver,occupation,He2019,7,,,,,,,
veterinarian,occupation,He2019,7,,,,,,,
waiter,occupation,He2019,7,,,,,,,
