category_key,w_pred,c_pred,w_gt,c_gt,bigg_w_pred,bigg_c_pred,quadrant_gt
rich person,0.004347969,-0.015535311,-0.9495812474214866,1.2231633637688433,0.050869733,0.08344677,1
feminist,-0.033436768,-0.028032668,-0.5780059766913399,0.4915165664224492,0.019067299,0.008711092,1
black professional,-0.029327223,-0.03017907,0.2752409412815898,0.6491020304662881,0.075680144,0.096311346,3
elderly person,-0.009658104,-0.038768537,1.2248221887030752,-0.5778133681607419,0.107424796,0.031333223,2
housewife,-0.011316641,-0.015551461,1.0596776239341217,-0.2176180217748249,0.05230319,0.042657554,2
welfare recipient,-0.016481973,-0.02377358,-1.032153529805964,-1.568350570722014,0.04196088,-0.002998745,0
accountant,0.0006449013,-0.016763687,-0.7716058573538879,1.5203715056606748,0.06271867,0.09745625,1
actor,-0.009123346,-0.013638811,-0.7574073785307847,0.070795547153851,0.02501558,0.0062347157,1
architect,-0.011112114,-0.0114039285,0.2222876602633372,1.1277780168984102,0.053785544,0.08199383,3
artist,-0.012576843,-0.01914962,-0.0190864797294174,-0.548294185125105,0.03885127,0.013682244,0
bank teller,-0.021110652,-0.024658114,-0.2320636620759656,0.5539875333227923,0.067903146,0.10186587,1
bartender,-0.017068096,-0.01056998,0.1654937449709243,-0.3066981920406343,0.06543791,0.088454366,2
bus driver,-0.027662031,-0.020643197,-0.0900788738449335,-1.3032816635140756,0.0461368,0.05086594,0
cashier,-0.040413305,-0.03526933,-0.4450408444225138,-1.635476154005223,0.07525206,0.09326443,0
ceo,0.004964132,-0.007750257,-1.7796978537942163,2.335757982320763,0.059795402,0.0899985,1
chef,0.015419116,0.01992733,0.5772496308409176,0.8861820238139394,0.049184725,0.08290258,3
childcare worker,-0.02750686,-0.025062364,1.7131279366891743,-1.3787804113529727,0.11029139,0.08792249,2
computer programmer,-0.014353053,-0.02345216,-0.3740484503069978,1.5203715056606748,0.032509584,0.05060225,1
construction worker,-0.021021806,0.0069766855,-0.7858043361769911,0.0254962984505127,0.07215375,0.09241094,1
custodian,-0.026235243,-0.017832162,0.0945013508554082,-1.8015733992507963,0.045581535,0.048976228,2
customer service representative,-0.015931984,-0.007164222,-1.3537434891011195,-1.3032816635140756,0.08682245,0.09456097,0
dentist,0.015280219,-0.011089873,1.11679182611884,0.7804837768394837,0.07277523,0.08838616,3
director,-0.0055398233,-0.008422508,-0.3314530138376881,0.9314812725172776,0.042439017,0.055178843,1
doctor,0.020750761,-0.010426389,1.07419638964953,1.006980020356175,0.08032484,0.09821979,3
electrician,-0.011651524,0.008731009,0.0235089567398922,0.4482892863483363,0.07346405,0.09673749,3
engineer,-0.0055592465,-0.009472411,0.3642724484943694,1.5052717560928954,0.06486389,0.0929105,3
factory worker,-0.020938747,-0.009362632,-0.2746590985452753,-0.8804886756162519,0.057146154,0.06614104,0
farmer,0.0050047715,-0.018880311,1.5001507543426265,-0.6841919312351197,0.085011944,0.050348267,2
financial advisor,0.010122326,-0.0062157633,-0.9987815185235392,1.3240747612795425,0.079495974,0.12915894,1
firefighter,-0.034759745,-0.024153842,1.91190664021262,0.0254962984505127,0.04913106,0.06594914,3
fisherman,-0.010992758,-0.017476525,-0.6296210691228556,-0.4274961885828697,0.0634062,0.03692711,0
garbage collector,-0.030061074,-0.008344235,-0.3740484503069978,-1.786473649683017,0.044041988,0.054410174,0
graphic designer,-0.024873259,-0.03800302,-0.5728271538304427,0.7049850290005863,0.05048046,0.066999696,1
lab technician,-0.007950058,-0.027329063,0.534654194371608,0.8408827751106012,0.061854202,0.11581002,3
landscaper,-0.0028091106,0.0008463403,-0.0048880009063142,-0.5331944355573256,0.07287686,0.07342784,0
lawyer,-0.0012005148,-0.012891848,-2.319240049072138,2.079062239668513,0.037606794,0.07804428,1
librarian,-0.033269383,-0.034599554,0.8612192073029818,-0.0802019485239431,0.07619734,0.11865585,2
maid,-0.015471017,-0.008782661,-0.0332849585525206,-1.499578407895208,0.048118133,0.03393057,0
manager,-0.0027213255,-0.0145351235,-0.4734378020687203,0.2368927923994246,0.042612597,0.08369258,1
mechanic,-0.009959482,-0.005656028,-1.325346531454913,0.4482892863483363,0.054271214,0.0717365,1
medical assistant,-0.013068504,-0.023299366,1.2871735719960784,-0.2915984424728549,0.09667583,0.1169596,2
military,-0.013369791,-0.016408961,0.605646588487124,0.5388877837550129,0.034762785,0.05829321,3
musician,-0.022530312,-0.012354599,-0.0190864797294174,0.0556957975860716,0.041951098,0.019266278,1
news anchor,0.007774974,0.0013232776,0.2506846179095436,0.1160947958571892,0.079165235,0.10781149,3
nurse,-0.0042523397,-0.011511954,1.91190664021262,0.3123915402383217,0.10412937,0.11278069,3
paramedic,-0.018998632,-0.023917882,1.6563340213967617,0.4482892863483363,0.052512184,0.07136033,3
pilot,-0.0049241353,-0.016613802,1.47175379669642,0.9012817733817188,0.0872132,0.10492721,3
plumber,-0.0066830465,0.013348364,-0.4308423655994106,-0.4274961885828697,0.04663367,0.049542036,0
police officer,-0.03861294,-0.019048799,-0.1184758314911399,-0.0953016980917225,0.009308583,0.037161604,0
politician,0.007533948,-0.007495205,-2.432827879656964,-0.0651021989561636,0.029311575,0.05690071,0
postal worker,-0.03181416,-0.00972521,0.1086998296785115,-1.061685670429605,0.08432344,0.08358221,2
principal,0.003546609,-0.013808172,0.6340435461333305,0.0405960480182922,0.06805277,0.09995795,3
professor,0.010358693,-0.019070068,0.5772496308409176,0.6596857802972482,0.06669716,0.08068432,3
psychiatrist,0.006231023,-0.019578079,0.6766389826026401,0.1764937941283069,0.026700137,0.054263018,3
