category_key,residual,quadrant_gt,model_w,model_c,human_w,human_c
ceo,0.2552000893181805,envy,0.059795413,0.08999851,-1.7796978537942163,2.335757982320763
lawyer,0.24649549281780805,envy,0.037606798,0.078044295,-2.319240049072138,2.079062239668513
customer service representative,0.22074464491402662,contempt,0.08682247,0.09456099,-1.3537434891011195,-1.3032816635140756
firefighter,0.18867064664979505,admiration,0.04913104,0.06594914,1.91190664021262,0.0254962984505127
cashier,0.18298294621289468,contempt,0.07525207,0.093264416,-0.4450408444225138,-1.635476154005223
politician,0.1699634358014721,contempt,0.02931157,0.05690071,-2.432827879656964,-0.0651021989561636
paramedic,0.16196529031123927,admiration,0.052512206,0.07136033,1.6563340213967617,0.4482892863483363
financial advisor,0.16072404220313938,envy,0.07949599,0.12915896,-0.9987815185235392,1.3240747612795425
salesperson,0.15620088479994926,envy,0.0655465,0.10115734,-1.424735883216636,0.0405960480182922
garbage collector,0.15160987701677286,contempt,0.044041995,0.054410182,-0.3740484503069978,-1.786473649683017
custodian,0.15023239544017686,paternalism,0.045581575,0.048976213,0.0945013508554082,-1.8015733992507963
computer programmer,0.1465098065076734,envy,0.0325096,0.050602265,-0.3740484503069978,1.5203715056606748
accountant,0.13928842239456662,envy,0.06271866,0.097456254,-0.7716058573538879,1.5203715056606748
waiter,0.13488372223025058,paternalism,0.079723164,0.08795496,0.1228983085016147,-1.348580912217414
childcare worker,0.13467463254649725,paternalism,0.110291384,0.08792248,1.7131279366891743,-1.3787804113529727
secretary,0.1313724639937478,paternalism,0.068501785,0.108046845,1.1593872625881496,-0.7747904286417961
security guard,0.12817095159283687,contempt,0.01495049,0.043898586,-0.4450408444225138,-1.424079660056311
rich person,0.12102109154793395,envy,0.050869714,0.083446786,-0.9495812474214866,1.2231633637688433
mechanic,0.12023896028491605,envy,0.054271206,0.071736515,-1.325346531454913,0.4482892863483363
psychiatrist,0.11791459058946736,admiration,0.026700132,0.054263026,0.6766389826026401,0.1764937941283069
housewife,0.11656875291013984,paternalism,0.0523032,0.042657524,1.0596776239341217,-0.2176180217748249
engineer,0.11349760864029926,admiration,0.0648639,0.092910506,0.3642724484943694,1.5052717560928954
military,0.10793787753283324,admiration,0.03476279,0.058293205,0.605646588487124,0.5388877837550129
farmer,0.10475305774437424,paternalism,0.08501196,0.050348286,1.5001507543426265,-0.6841919312351197
postal worker,0.10453202040337922,paternalism,0.084323466,0.08358223,0.1086998296785115,-1.061685670429605
bus driver,0.10412052329353201,contempt,0.046136793,0.050865937,-0.0900788738449335,-1.3032816635140756
construction worker,0.10367131505883893,envy,0.07215375,0.09241095,-0.7858043361769911,0.0254962984505127
maid,0.10304495098023188,contempt,0.048118133,0.03393059,-0.0332849585525206,-1.499578407895208
feminist,0.10029869849221258,envy,0.019067315,0.008711094,-0.5780059766913399,0.4915165664224492
taxi driver,0.09283499675110461,contempt,0.026821585,0.03631655,-1.495728277332152,-0.8804886756162519
director,0.09266015496839977,envy,0.042439017,0.055178847,-0.3314530138376881,0.9314812725172776
pilot,0.09243654802937097,admiration,0.08721322,0.104927234,1.47175379669642,0.9012817733817188
dentist,0.0905769568585712,admiration,0.07277525,0.08838621,1.11679182611884,0.7804837768394837
architect,0.08803239729708205,admiration,0.05378554,0.08199381,0.2222876602633372,1.1277780168984102
truck driver,0.0870781777610444,contempt,0.04236456,0.06006813,-0.8851936879387136,-0.804989927777355
doctor,0.08648607481042374,admiration,0.08032483,0.09821978,1.07419638964953,1.006980020356175
chef,0.0852745067951741,admiration,0.049184714,0.08290256,0.5772496308409176,0.8861820238139394
nurse,0.08350815975243385,admiration,0.10412938,0.11278067,1.91190664021262,0.3123915402383217
scientist,0.08117902827636352,admiration,0.056276046,0.102998346,0.1228983085016147,1.339174510847322
factory worker,0.07909679227446548,contempt,0.057146154,0.066141054,-0.2746590985452753,-0.8804886756162519
police officer,0.07903265112416111,contempt,0.009308586,0.03716163,-0.1184758314911399,-0.0953016980917225
welfare recipient,0.07588815031335062,contempt,0.041960884,-0.0029987467,-1.032153529805964,-1.568350570722014
writer,0.07577456090214293,admiration,0.044141278,0.04156959,0.2222876602633372,0.3123915402383217
graphic designer,0.07374214365811697,envy,0.050480463,0.066999696,-0.5728271538304427,0.7049850290005863
musician,0.07087637679255226,envy,0.04195111,0.019266298,-0.0190864797294174,0.0556957975860716
medical assistant,0.07078240886065737,paternalism,0.096675836,0.11695962,1.2871735719960784,-0.2915984424728549
actor,0.0631980013195183,envy,0.025015576,0.0062347227,-0.7574073785307847,0.070795547153851
librarian,0.0620799211543834,paternalism,0.07619733,0.118655875,0.8612192073029818,-0.0802019485239431
professor,0.061979262357409734,admiration,0.06669716,0.08068433,0.5772496308409176,0.6596857802972482
veterinarian,0.0617185021739595,admiration,0.09692294,0.11273289,1.5285477119888329,0.1613940445605275
teacher,0.05385234231201159,paternalism,0.07906683,0.09618889,0.8754176861260852,-0.2311994442017373
elderly person,0.05366683653429852,paternalism,0.10742484,0.031333238,1.2248221887030752,-0.5778133681607419
bank teller,0.052641514269907076,envy,0.06790318,0.10186586,-0.2320636620759656,0.5539875333227923
artist,0.0518866243228048,contempt,0.038851257,0.01368225,-0.0190864797294174,-0.548294185125105
fisherman,0.05165064172744136,contempt,0.06340621,0.036927115,-0.6296210691228556,-0.4274961885828697
landscaper,0.05098254842726064,contempt,0.072876856,0.07342784,-0.0048880009063142,-0.5331944355573256
bartender,0.0458584028931814,paternalism,0.06543792,0.08845434,0.1654937449709243,-0.3066981920406343
welder,0.04041476134590462,envy,0.016118068,0.060113993,-0.3314530138376881,0.2217930428316452
black professional,0.0396210653522532,admiration,0.07568016,0.09631135,0.2752409412815898,0.6491020304662881
principal,0.03944148047517512,admiration,0.06805278,0.099957965,0.6340435461333305,0.0405960480182922
technical support worker,0.0392723011701134,envy,0.06898547,0.07471873,-0.2036667044297592,0.1311945454249687
electrician,0.03724503894455119,admiration,0.07346404,0.0967375,0.0235089567398922,0.4482892863483363
news anchor,0.03429027928067725,admiration,0.07916526,0.10781148,0.2506846179095436,0.1160947958571892
lab technician,0.033724398265808773,admiration,0.06185421,0.11581003,0.534654194371608,0.8408827751106012
plumber,0.024859652934166174,contempt,0.046633687,0.04954206,-0.4308423655994106,-0.4274961885828697
manager,0.024618237757397347,envy,0.042612582,0.08369258,-0.4734378020687203,0.2368927923994246
