category_key,w_pred,c_pred,w_gt,c_gt
rich person,-0.12981807,-0.049793087,-0.9495812474214866,1.2231633637688433
feminist,-0.08400958,-0.07613064,-0.5780059766913399,0.4915165664224492
black professional,0.035197604,0.07058746,0.2752409412815898,0.6491020304662881
elderly person,0.0019289069,-0.0035319086,1.2248221887030752,-0.5778133681607419
housewife,-0.026118442,-0.02961563,1.0596776239341217,-0.2176180217748249
welfare recipient,-0.16704984,-0.17196777,-1.032153529805964,-1.568350570722014
accountant,0.013058424,0.08804785,-0.7716058573538879,1.5203715056606748
actor,-0.083586514,0.015907302,-0.7574073785307847,0.070795547153851
architect,-0.025314752,0.039566472,0.2222876602633372,1.1277780168984102
artist,-0.027560407,0.07859586,-0.0190864797294174,-0.548294185125105
bank teller,-0.027862484,0.0026118606,-0.2320636620759656,0.5539875333227923
bartender,-0.045745634,-0.036251884,0.1654937449709243,-0.3066981920406343
bus driver,-0.10472894,-0.0952024,-0.0900788738449335,-1.3032816635140756
cashier,0.012902115,0.042795483,-0.4450408444225138,-1.635476154005223
ceo,-0.059952103,0.007857155,-1.7796978537942163,2.335757982320763
chef,0.021562638,0.046968326,0.5772496308409176,0.8861820238139394
childcare worker,-0.014879152,-0.0024237446,1.7131279366891743,-1.3787804113529727
computer programmer,0.029380769,0.05175233,-0.3740484503069978,1.5203715056606748
construction worker,0.009435747,0.034269862,-0.7858043361769911,0.0254962984505127
custodian,-0.059146576,-0.04709701,0.0945013508554082,-1.8015733992507963
customer service representative,0.04967049,0.06471404,-1.3537434891011195,-1.3032816635140756
dentist,-0.0012960546,0.02206793,1.11679182611884,0.7804837768394837
director,-0.012627505,0.11151914,-0.3314530138376881,0.9314812725172776
doctor,0.05059533,0.102300465,1.07419638964953,1.006980020356175
electrician,-0.031316698,0.010399893,0.0235089567398922,0.4482892863483363
engineer,0.0053507015,0.041201793,0.3642724484943694,1.5052717560928954
factory worker,-0.005215518,-0.03125585,-0.2746590985452753,-0.8804886756162519
farmer,-0.00089487433,-0.0032307599,1.5001507543426265,-0.6841919312351197
financial advisor,-0.005784154,0.010026116,-0.9987815185235392,1.3240747612795425
firefighter,-0.043773837,-0.033304688,1.91190664021262,0.0254962984505127
fisherman,0.027135821,-0.061628714,-0.6296210691228556,-0.4274961885828697
garbage collector,-0.08481261,-0.09520713,-0.3740484503069978,-1.786473649683017
graphic designer,0.073881924,0.087458566,-0.5728271538304427,0.7049850290005863
lab technician,0.029105704,0.049857933,0.534654194371608,0.8408827751106012
landscaper,-0.024179809,-0.018241301,-0.0048880009063142,-0.5331944355573256
lawyer,0.06498413,0.074391246,-2.319240049072138,2.079062239668513
librarian,0.0683729,0.07433788,0.8612192073029818,-0.0802019485239431
maid,-0.072552346,-0.06835086,-0.0332849585525206,-1.499578407895208
manager,-0.0020000935,0.09764584,-0.4734378020687203,0.2368927923994246
mechanic,0.011601465,0.010817572,-1.325346531454913,0.4482892863483363
medical assistant,0.059169378,0.045933723,1.2871735719960784,-0.2915984424728549
military,-0.015203575,0.019059045,0.605646588487124,0.5388877837550129
musician,-0.0039044116,0.061112925,-0.0190864797294174,0.0556957975860716
news anchor,-0.03321706,-0.0021997709,0.2506846179095436,0.1160947958571892
nurse,0.0873681,0.0849499,1.91190664021262,0.3123915402383217
paramedic,-0.031331502,-0.04431324,1.6563340213967617,0.4482892863483363
pilot,-0.0018432513,0.063505895,1.47175379669642,0.9012817733817188
plumber,-0.03360366,-0.011499711,-0.4308423655994106,-0.4274961885828697
police officer,-0.031805083,-0.011530673,-0.1184758314911399,-0.0953016980917225
politician,-0.11721456,-0.036986902,-2.432827879656964,-0.0651021989561636
postal worker,0.020198517,-0.00011940161,0.1086998296785115,-1.061685670429605
principal,0.021146134,0.12086882,0.6340435461333305,0.0405960480182922
professor,-0.02239982,0.03215329,0.5772496308409176,0.6596857802972482
psychiatrist,-0.030927416,-0.027363451,0.6766389826026401,0.1764937941283069
salesperson,-0.08180364,-0.024548167,-1.424735883216636,0.0405960480182922
scientist,0.024232568,0.06605364,0.1228983085016147,1.339174510847322
security guard,-0.0913627,-0.071638264,-0.4450408444225138,-1.424079660056311
secretary,0.043013796,0.020175159,1.1593872625881496,-0.7747904286417961
taxi driver,-0.09715196,-0.09082584,-1.495728277332152,-0.8804886756162519
teacher,0.09686105,0.11927676,0.8754176861260852,-0.2311994442017373
technical support worker,0.03579,0.020725977,-0.2036667044297592,0.1311945454249687
truck driver,-0.038930003,-0.05683195,-0.8851936879387136,-0.804989927777355
veterinarian,-0.011512699,0.023479832,1.5285477119888329,0.1613940445605275
waiter,-0.014706232,-0.043870974,0.1228983085016147,-1.348580912217414
welder,-0.041842766,-0.032923248,-0.3314530138376881,0.2217930428316452
writer,-0.015982369,0.0027619475,0.2222876602633372,0.3123915402383217
